Radius,AvgE,AvgEErr
51.26891596633048,0.015209607895806096,0.010130044474093117
53.87115380817579,0.014994715477975921,0.010051414220647552
56.60547249584937,0.014781430027778446,0.010077420510484991
59.478576009115955,0.014552025148475355,0.00970725343394522
62.49750859921869,0.014321017064362685,0.009826073688814095
65.66967205991571,0.014074464009033082,0.00946032329759639
69.00284387513628,0.013828660063955634,0.009615239476411842
72.50519628775109,0.01357143500880547,0.009417419115951906
76.18531633620921,0.013312982062607366,0.009271726499458758
80.0522269081674,0.013041087969440923,0.009333333333336774
84.11540886273079,0.012772078275250702,0.009036961141154005
88.38482427554422,0.012493216973338297,0.009375093422557353
92.87094086372633,0.012213281991535424,0.008682431421247815
97.584757650531,0.011925282702242003,0.009417419115951658
